hosts_total,time,hosts_responded
8192 ,"17:25:01
",2446 
8192 ,"17:30:01
",2454 
8192 ,"17:35:01
",2466 
8192 ,"17:40:01
",2445 
8192 ,"17:45:02
",2408 
8192 ,"17:50:01
",2391 
8192 ,"17:55:01
",2445 
8192 ,"18:00:01
",2401 
8192 ,"18:05:02
",2421 
8192 ,"18:10:01
",2464 
8192 ,"18:15:01
",2517 
8192 ,"18:20:01
",2511 
8192 ,"18:25:01
",2540 
8192 ,"18:30:01
",2516 
8192 ,"18:35:01
",2544 
8192 ,"18:40:01
",2517 
8192 ,"18:45:01
",2521 
8192 ,"18:50:01
",2533 
8192 ,"18:55:01
",2554 
8192 ,"19:00:01
",2545 
8192 ,"19:05:01
",2536 
8192 ,"19:10:01
",2498 
8192 ,"19:15:01
",2537 
8192 ,"19:20:01
",2568 
8192 ,"19:25:01
",2577 
8192 ,"19:30:01
",2584 
8192 ,"19:35:01
",2598 
8192 ,"19:40:01
",2637 
8192 ,"19:45:01
",2620 
8192 ,"19:50:01
",2658 
8192 ,"19:55:01
",2660 
8192 ,"20:00:01
",2688 
8192 ,"20:05:01
",2689 
8192 ,"20:10:02
",2717 
8192 ,"20:15:01
",2734 
8192 ,"20:20:01
",2741 
8192 ,"20:25:02
",2760 
8192 ,"20:30:02
",2740 
8192 ,"20:35:02
",2761 
8192 ,"20:40:01
",2711 
8192 ,"20:45:02
",2776 
8192 ,"20:50:01
",2796 
8192 ,"20:55:01
",2831 
8192 ,"21:00:01
",2871 
8192 ,"21:05:01
",2898 
8192 ,"21:10:01
",2925 
8192 ,"21:15:02
",2934 
8192 ,"21:20:02
",2948 
8192 ,"21:25:01
",2966 
8192 ,"21:30:01
",3031 
8192 ,"21:35:02
",3033 
8192 ,"21:40:01
",3038 
8192 ,"21:45:01
",3058 
8192 ,"21:50:01
",3091 
8192 ,"21:55:01
",3095 
8192 ,"22:00:02
",3133 
8192 ,"22:05:02
",3107 
8192 ,"22:10:02
",3162 
8192 ,"22:15:01
",3163 
8192 ,"22:20:02
",3183 
8192 ,"22:25:02
",3163 
8192 ,"22:30:01
",3180 
8192 ,"22:35:01
",3186 
8192 ,"22:40:02
",3202 
8192 ,"22:45:01
",3232 
8192 ,"22:50:01
",3221 
8192 ,"22:55:01
",3221 
8192 ,"23:00:01
",3236 
8192 ,"23:05:02
",3237 
8192 ,"23:10:01
",3217 
8192 ,"23:15:01
",3251 
8192 ,"23:20:01
",3249 
8192 ,"23:25:01
",3246 
8192 ,"23:30:01
",3266 
8192 ,"23:35:01
",3238 
8192 ,"23:40:01
",3204 
8192 ,"23:45:01
",3193 
8192 ,"23:50:01
",3212 
8192 ,"23:55:01
",3171 
8192 ,"00:00:01
",3167 
8192 ,"00:05:01
",3165 
8192 ,"00:10:01
",3152 
8192 ,"00:15:01
",3147 
8192 ,"00:20:01
",3081 
8192 ,"00:25:01
",3086 
8192 ,"00:30:01
",3054 
8192 ,"00:35:01
",3031 
8192 ,"00:40:01
",2984 
8192 ,"00:45:01
",2994 
8192 ,"00:50:01
",2979 
8192 ,"00:55:01
",2949 
8192 ,"01:00:01
",2913 
8192 ,"01:05:01
",2887 
8192 ,"01:10:01
",2890 
8192 ,"01:15:01
",2852 
8192 ,"01:20:01
",2860 
8192 ,"01:25:01
",2803 
8192 ,"01:30:01
",2787 
8192 ,"01:35:01
",2773 
8192 ,"01:40:01
",2742 
8192 ,"01:45:02
",2719 
8192 ,"01:50:01
",2670 
8192 ,"01:55:01
",2649 
8192 ,"02:00:02
",2656 
8192 ,"02:05:01
",2644 
8192 ,"02:10:01
",2600 
8192 ,"02:15:01
",2596 
8192 ,"02:20:01
",2548 
8192 ,"02:25:02
",2504 
8192 ,"02:30:02
",2544 
8192 ,"02:35:01
",2499 
8192 ,"02:40:01
",2465 
8192 ,"02:45:01
",2430 
8192 ,"02:50:01
",2419 
8192 ,"02:55:01
",2402 
8192 ,"03:00:01
",2430 
8192 ,"03:05:01
",2382 
8192 ,"03:10:02
",2373 
8192 ,"03:15:01
",2329 
8192 ,"03:20:01
",2355 
8192 ,"03:25:02
",2330 
8192 ,"03:30:01
",2328 
8192 ,"03:35:01
",2312 
