download,latency,upload,time
53.59," 18.97 ms
",50.22,"11:10:01
"
59.55,"19.163 ms
",22.12,"11:15:01
"
51.92,"23.338 ms
",57.59,"11:20:01
"
41.93,"19.493 ms
",46.02,"11:25:01
"
53.54,"26.583 ms
",59.19,"11:30:01
"
49.04,"20.435 ms
",62.45,"11:35:01
"
43.66,"19.877 ms
",54.67,"11:40:01
"
46.94,"19.483 ms
",61.08,"11:45:01
"
52.75,"19.051 ms
",48.30,"11:50:01
"
51.57,"20.515 ms
",57.10,"11:55:01
"
52.23,"21.018 ms
",53.87,"12:00:01
"
36.76,"20.498 ms
",39.58,"12:05:01
"
50.80,"20.256 ms
",41.95,"12:10:01
"
55.04,"19.241 ms
",51.63,"12:15:01
"
40.68,"19.107 ms
",48.61,"12:20:01
"
28.38,"23.865 ms
",48.46,"12:25:01
"
17.63,"21.941 ms
",35.50,"12:30:01
"
15.70,"22.457 ms
",29.97,"12:35:01
"
5.72 ,"25.698 ms
",3.71 ,"12:40:01
"
10.15,"21.539 ms
",19.08,"12:45:01
"
6.25 ,"30.109 ms
",0.82 ,"12:50:01
"
9.93 ,"28.801 ms
",38.28,"12:55:02
"
5.66 ,"23.304 ms
",21.19,"13:00:01
"
5.44 ,"25.223 ms
",33.34,"13:05:01
"
7.32 ," 29.77 ms
",7.85 ,"13:10:01
"
6.54 ,"25.573 ms
",21.35,"13:15:01
"
5.80 ,"39.967 ms
",3.70 ,"13:40:01
"
8.28 ,"25.266 ms
",30.37,"13:45:01
"
1.75 ,"31.924 ms
",21.14,"13:50:01
"
4.65 ,"24.455 ms
",29.35,"13:55:01
"
1.81 ,"28.864 ms
",26.23,"14:00:01
"
16.63,"22.463 ms
",28.22,"14:05:01
"
12.28," 26.46 ms
",32.68,"14:10:01
"
17.06,"23.483 ms
",43.63,"14:15:01
"
7.93 ,"22.519 ms
",7.60 ,"14:20:01
"
8.30 ,"23.124 ms
",33.69,"14:25:01
"
12.75,"38.563 ms
",28.52,"14:30:01
"
17.48," 20.39 ms
",30.35,"14:35:01
"
6.07 ,"30.631 ms
",45.96,"14:40:01
"
11.41,"25.839 ms
",13.65,"14:45:01
"
6.58 ,"29.306 ms
",43.77,"14:50:01
"
9.79 ,"22.013 ms
",70.74,"18:00:01
"
8.88 ,"21.898 ms
",65.63,"18:05:01
"
8.64 ,"22.436 ms
",74.32,"18:10:01
"
9.96 ,"23.146 ms
",25.65,"18:15:01
"
21.72,"22.624 ms
",76.81,"18:20:01
"
21.90,"22.365 ms
",76.95,"18:25:01
"
31.15,"21.756 ms
",83.27,"18:30:01
"
22.15,"20.469 ms
",42.52,"18:35:01
"
52.95,"20.156 ms
",78.55,"18:40:01
"
20.27,"20.646 ms
",65.36,"18:45:01
"
15.07,"21.714 ms
",71.12,"18:50:01
"
12.03," 22.32 ms
",76.24,"18:55:01
"
8.91 ,"22.265 ms
",69.97,"19:00:01
"
3.17 ,"60.404 ms
",1.39 ,"19:05:01
"
5.18 ," 24.83 ms
",37.14,"19:10:01
"
8.41 ,"22.602 ms
",38.53,"19:15:01
"
6.01 ,"23.658 ms
",34.59,"19:20:01
"
7.46 ,"24.199 ms
",33.37,"19:25:01
"
6.91 ,"32.549 ms
",41.23,"19:30:01
"
6.54 ,"26.641 ms
",45.88,"19:35:01
"
