download,latency,upload,time
6.55," 22.57 ms
",4.93,"01:05:01
"
18.11,"22.573 ms
",42.11,"01:10:01
"
21.03,"25.365 ms
",49.1,"01:15:01
"
13.95,"22.013 ms
",25.97,"01:20:01
"
27.06,"21.364 ms
",50.4,"01:25:01
"
24.01,"22.471 ms
",55.21,"01:30:01
"
31.41,"19.621 ms
",49.67,"01:35:01
"
35.21,"19.892 ms
",56.38,"01:40:01
"
40.79,"20.405 ms
",16.55,"01:45:01
"
46.1,"19.721 ms
",39.09,"01:50:01
"
45.78,"19.894 ms
",28.32,"01:55:01
"
42.58,"21.461 ms
",41.99,"02:00:01
"
39.28,"19.126 ms
",54.57,"02:05:01
"
48.93,"19.126 ms
",44.42,"02:10:01
"
45.07,"19.375 ms
",50.83,"02:15:01
"
56.78,"21.219 ms
",58.71,"02:20:01
"
40.49,"21.236 ms
",21.55,"02:25:01
"
59.88,"19.737 ms
",60.18,"02:30:01
"
46.01,"27.528 ms
",63.31,"02:35:01
"
54.86,"19.749 ms
",65.51,"02:40:01
"
50.8,"19.422 ms
",60.3,"02:45:01
"
46.16,"19.784 ms
",62.07,"02:50:01
"
49.75,"22.404 ms
",53.51,"02:55:01
"
56.88,"18.943 ms
",59.62,"03:00:02
"
47.19,"19.685 ms
",56.66,"03:05:01
"
57.71,"20.709 ms
",57.91,"03:10:01
"
42.21,"18.731 ms
",46.15,"03:15:01
"
61.86,"19.058 ms
",59.52,"03:20:01
"
39.32,"20.722 ms
",53.98,"03:25:01
"
55.28,"18.921 ms
",57.35,"03:30:01
"
34.22,"19.003 ms
",46.69,"03:35:01
"
56.33," 19.71 ms
",54.97,"03:40:01
"
46.57,"18.852 ms
",53.63,"03:45:01
"
47.26,"18.946 ms
",57.47,"03:50:01
"
55.37,"19.014 ms
",58.14,"03:55:01
"
64.87,"18.998 ms
",55.87,"04:00:01
"
43.26,"19.306 ms
",60.49,"04:05:01
"
59.76," 18.81 ms
",57.15,"04:10:01
"
37.85,"19.648 ms
",49.59,"04:15:01
"
57.58,"19.003 ms
",35.97,"04:20:01
"
37.49,"19.228 ms
",61.21,"04:25:01
"
50.27,"19.086 ms
",54.65,"04:30:01
"
34.35,"19.648 ms
",16.52,"04:35:01
"
51.89,"18.825 ms
",62.28,"04:40:01
"
39.66,"19.974 ms
",62.42,"04:45:01
"
51.26,"19.545 ms
",61.29,"04:50:01
"
48.56," 18.86 ms
",60.28,"04:55:01
"
58.05," 32.08 ms
",58.98,"05:00:01
"
47.64,"18.975 ms
",56.65,"05:05:01
"
58.9,"18.694 ms
",63.18,"05:10:02
"
50.4,"18.799 ms
",57.87,"05:15:01
"
60.57,"19.185 ms
",54.86,"05:20:01
"
49.54,"19.561 ms
",59.68,"05:25:01
"
55.36,"19.334 ms
",57.48,"05:30:01
"
50.77,"18.748 ms
",57.84,"05:35:01
"
57.98," 18.83 ms
",54.31,"05:40:01
"
48.03,"19.358 ms
",46.14,"05:45:01
"
59.43,"20.617 ms
",64.4,"05:50:01
"
49.14,"18.804 ms
",57.78,"05:55:01
"
45.12,"19.294 ms
",61.38,"06:00:01
"
36.97,"18.799 ms
",58.05,"06:05:01
"
51.95,"19.061 ms
",60.2,"06:10:01
"
41.11,"18.858 ms
",58.59,"06:15:01
"
63.64,"18.808 ms
",60.37,"06:20:01
"
52.6,": 18.8 ms
",62.15,"06:25:01
"
48.58,"18.831 ms
",60.35,"06:30:01
"
35.71,"19.348 ms
",60.2,"06:35:01
"
49.6,"19.614 ms
",57.84,"06:40:02
"
42.2," 19.45 ms
",45.65,"06:45:01
"
45.9,"18.688 ms
",60.52,"06:50:01
"
37.28,"20.437 ms
",58.77,"06:55:01
"
51.35,"18.682 ms
",47.36,"07:00:01
"
40.26," 19.02 ms
",56.92,"07:05:01
"
50.84,"18.951 ms
",56.36,"07:10:01
"
29.87,"19.025 ms
",50.59,"07:15:01
"
49.15,"18.773 ms
",56.59,"07:20:01
"
39.55," 19.28 ms
",56.86,"07:25:01
"
53.64,"19.206 ms
",58.8,"07:30:01
"
43.08,"19.342 ms
",54.76,"07:35:01
"
40.81,"18.979 ms
",50.93,"07:40:01
"
40.02,"18.748 ms
",59.43,"07:45:01
"
47.83,"19.722 ms
",59.28,"07:50:01
"
35.86,"18.908 ms
",61.98,"07:55:01
"
51.36,"19.028 ms
",57.52,"08:00:01
"
35.78,"19.315 ms
",62.17,"08:05:01
"
73.31,"19.338 ms
",60.97,"08:10:01
"
38.2,"18.785 ms
",47.26,"08:15:01
"
56.58,"20.664 ms
",20.58,"08:20:01
"
40.66,"19.562 ms
",61.85,"08:25:01
"
53.27,"24.408 ms
",57.6,"08:30:01
"
34.97,"28.521 ms
",52.72,"08:35:01
"
47.54,"19.007 ms
",56.35,"08:40:01
"
39.46,"19.021 ms
",51.86,"08:45:01
"
54.78," 18.92 ms
",62.33,"08:50:01
"
