download,latency,upload,time
10.75,"51.674 ms
",18.87,"14:18:01
"
9.22 ,"48.762 ms
",19.40,"14:19:01
"
6.46 ,"48.698 ms
",22.06,"14:20:01
"
23.94,"59.385 ms
",18.07,"14:21:01
"
19.10,"61.801 ms
",17.96,"14:22:01
"
9.17 ,"27.936 ms
",32.07,"14:40:01
"
13.44,"23.944 ms
",47.05,"14:50:01
"
17.81,"25.439 ms
",50.86,"15:00:01
"
25.12,"21.385 ms
",52.53,"15:10:01
"
21.05,"21.463 ms
",45.26,"15:20:01
"
10.21,"28.067 ms
",20.42,"15:30:01
"
27.69,"21.463 ms
",18.84,"15:40:01
"
52.59,"40.445 ms
",17.21,"16:20:01
"
2.58 ,"29.821 ms
",23.18,"16:30:01
"
5.75 ,"29.192 ms
",25.38,"16:40:01
"
174.9,"28.974 ms
",24.12,"16:50:01
"
51.63,"30.303 ms
",28.43,"17:00:01
"
15.87,"28.934 ms
",27.80,"17:10:01
"
2.15 ,"31.016 ms
",28.58,"17:20:01
"
18.78,"28.887 ms
",28.52,"17:30:01
"
99.89,"29.185 ms
",24.57,"17:40:01
"
22.84,"28.884 ms
",0.00 ,"17:50:01
"
27.14," 47.98 ms
",31.60,"18:40:01
"
17.18,"40.695 ms
",30.62,"19:10:01
"
14.36,"36.051 ms
",34.48,"19:20:01
"
23.87,"31.911 ms
",32.44,"19:30:01
"
33.81,"30.893 ms
",35.19,"19:40:01
"
32.86,"31.999 ms
",34.22,"19:50:01
"
